EmployeeID,FirstName,LastName,Gender,DateOfBirth,Age,Department,JobRole,EmploymentType,HireDate,ExperienceYears,Team,Manager,Branch,Location,Email,PhoneNumber,AttendanceDate,DayOfWeek,Month,Quarter,Year,Shift,PreferredShift,AttendanceStatus,ClockInTime,ClockOutTime,WorkingHours,BreakHours,OvertimeHours,LateMinutes,EarlyDepartureMinutes,ProductivityScore,PerformanceRating,TasksAssigned,TasksCompleted,AttendanceRate,UtilizationRate,CapacityUtilization,EfficiencyScore,LeaveBalance,AbsenceCount,CustomerOrders,DailySales,WorkloadIndex,CurrentCapacity,RequiredCapacity,AvailableHeadroom,CapacityLoad,PeakUtilization,ScalingEvents,PublicHoliday,Weekend,WeatherCondition,Season,SpecialEvent,HistoricalDemand,WorkforceDemand,WorkforceStatus,AlertLevel,NotificationType,ProcessingStatus,LastUpdated
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-01,Monday,1.0,1.0,2024.0,Morning,Morning,Leave,,,,,,,,,,0.0,0.0,0.0,,,,25.0,0.0,6613.0,279708.8,66.5,243.0,237.0,6.0,97.5,71.5,0.0,Yes,No,Snowy,Winter,January Sale,114.8,114.8,Balanced,Medium,Attendance Monitoring,Completed,2024-01-01T23:59:00Z
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-02,Tuesday,1.0,1.0,2024.0,Morning,Morning,Present,07:20,18:15,8.6,1.0,1.6,0.0,17.0,60.0,1.0,39.0,23.0,50.0,106.2,113.5,41.6,25.0,0.0,6518.0,302186.73,67.5,234.0,234.0,0.0,100.0,74.4,0.0,No,No,Cloudy,Winter,January Sale,114.9,114.9,Balanced,Medium,Attendance Monitoring,Completed,2024-01-02T23:59:00Z
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-03,Wednesday,1.0,1.0,2024.0,Morning,Morning,Present,07:21,17:27,9.0,1.1,0.0,0.0,0.0,62.7,1.0,37.0,23.0,66.7,110.1,98.2,45.9,25.0,0.0,6236.0,246696.55,67.0,223.0,229.0,-6.0,102.7,72.7,0.0,No,No,Cloudy,Winter,January Sale,107.0,107.0,Balanced,Medium,Attendance Monitoring,Completed,2024-01-03T23:59:00Z
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-04,Thursday,1.0,1.0,2024.0,Morning,Morning,Leave,,,,,,,,,,0.0,0.0,50.0,,,,24.0,0.0,6540.0,273809.19,71.8,244.0,242.0,2.0,99.2,72.0,0.0,No,No,Rainy,Winter,January Sale,114.7,114.7,Balanced,Medium,Attendance Monitoring,Completed,2024-01-04T23:59:00Z
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-05,Friday,1.0,1.0,2024.0,Night,Morning,Present,23:04,07:46,7.7,1.0,0.0,0.0,0.0,60.0,1.0,34.0,20.0,60.0,101.2,86.2,41.5,24.0,0.0,6193.0,250613.25,65.2,237.0,235.0,2.0,99.2,70.5,0.0,No,No,Snowy,Winter,January Sale,106.3,106.3,Balanced,Medium,Attendance Monitoring,Completed,2024-01-05T23:59:00Z
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-06,Saturday,1.0,1.0,2024.0,Morning,Morning,Present,07:34,16:04,7.8,0.7,0.0,7.0,0.0,60.0,1.0,37.0,21.0,66.7,93.8,90.5,40.1,24.0,0.0,6694.0,283754.91,71.6,241.0,241.0,0.0,100.0,74.4,0.0,No,Yes,Cloudy,Winter,January Sale,122.1,122.1,Balanced,Medium,Attendance Monitoring,Completed,2024-01-06T23:59:00Z
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-07,Sunday,1.0,1.0,2024.0,Morning,Morning,Leave,,,,,,,,,,0.0,0.0,57.1,,,,24.0,0.0,6546.0,258660.05,71.5,234.0,236.0,-2.0,100.9,76.3,0.0,No,Yes,Cloudy,Winter,January Sale,116.5,116.5,Balanced,Medium,Attendance Monitoring,Completed,2024-01-07T23:59:00Z
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-08,Monday,1.0,1.0,2024.0,Morning,Morning,Leave,,,,,,,,,,0.0,0.0,50.0,,,,23.0,0.0,6261.0,295640.98,64.6,224.0,232.0,-8.0,103.6,71.2,0.0,No,No,Windy,Winter,,114.8,105.8,Balanced,Medium,Attendance Monitoring,Completed,2024-01-08T23:59:00Z
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-09,Tuesday,1.0,1.0,2024.0,Night,Morning,Present,23:02,08:26,8.5,0.9,0.0,0.0,0.0,60.0,1.0,33.0,19.0,55.6,109.2,97.9,40.6,23.0,0.0,5779.0,271964.72,59.1,232.0,232.0,0.0,100.0,70.0,0.0,No,No,Windy,Winter,,114.9,95.7,Balanced,Low,Routine Update,Completed,2024-01-09T23:59:00Z
EMP0001,Seren,Stevenson,Female,1977-01-20,47.0,Operations,Operations Analyst,Full-Time,2022-08-20,5.0,Team Bravo,Fiona Clarke,Birmingham Distribution Hub (BHX2),Birmingham,seren.stevenson@nexafreight.co.uk,+44 4273170353,2024-01-10,Wednesday,1.0,1.0,2024.0,Rotational,Morning,Present,19:36,04:48,8.1,1.1,0.0,28.0,0.0,60.0,1.0,34.0,20.0,60.0,100.9,93.0,41.5,23.0,0.0,6086.0,273712.17,61.2,231.0,234.0,-3.0,101.3,70.9,0.0,No,No,Windy,Winter,,107.0,102.2,Balanced,Medium,Attendance Monitoring,Completed,2024-01-10T23:59:00Z
